[2023-10-20 17-55-36] TRAIN | Epoch 46 | Loss : 8.3100 | MAE : 83.6139 | LR : 0.056271
[2023-10-20 17-55-43] VALID | Epoch 46 | Loss : 8.2186 | MAE : 322.2379 | LR : 0.056271
[2023-10-20 17-56-14] TRAIN | Epoch 47 | Loss : 8.3100 | MAE : 84.1943 | LR : 0.054710
[2023-10-20 17-56-21] VALID | Epoch 47 | Loss : 8.2186 | MAE : 250.3274 | LR : 0.054710
[2023-10-20 17-56-52] TRAIN | Epoch 48 | Loss : 8.3100 | MAE : 83.0999 | LR : 0.053144
[2023-10-20 17-56-59] VALID | Epoch 48 | Loss : 8.2186 | MAE : 454.0377 | LR : 0.053144
[2023-10-20 17-57-30] TRAIN | Epoch 49 | Loss : 8.3100 | MAE : 84.9568 | LR : 0.051575
[2023-10-20 17-57-37] VALID | Epoch 49 | Loss : 8.2186 | MAE : 432.0025 | LR : 0.051575
[2023-10-20 17-58-08] TRAIN | Epoch 50 | Loss : 8.3100 | MAE : 84.2822 | LR : 0.050005
[2023-10-20 17-58-16] VALID | Epoch 50 | Loss : 8.2186 | MAE : 291.7763 | LR : 0.050005
[2023-10-20 17-58-47] TRAIN | Epoch 51 | Loss : 8.3100 | MAE : 84.3221 | LR : 0.048435
[2023-10-20 17-58-54] VALID | Epoch 51 | Loss : 8.2186 | MAE : 653.8366 | LR : 0.048435
[2023-10-20 17-59-26] TRAIN | Epoch 52 | Loss : 8.3100 | MAE : 83.1319 | LR : 0.046866
[2023-10-20 17-59-32] VALID | Epoch 52 | Loss : 8.2186 | MAE : 92.8081 | LR : 0.046866
[2023-10-20 18-00-03] TRAIN | Epoch 53 | Loss : 8.3100 | MAE : 83.9966 | LR : 0.045300
[2023-10-20 18-00-10] VALID | Epoch 53 | Loss : 8.2186 | MAE : 313.5950 | LR : 0.045300
[2023-10-20 18-00-41] TRAIN | Epoch 54 | Loss : 8.3100 | MAE : 84.7469 | LR : 0.043739
[2023-10-20 18-00-47] VALID | Epoch 54 | Loss : 8.2186 | MAE : 175.4637 | LR : 0.043739
[2023-10-20 18-01-19] TRAIN | Epoch 55 | Loss : 8.3100 | MAE : 83.6026 | LR : 0.042184
[2023-10-20 18-01-26] VALID | Epoch 55 | Loss : 8.2186 | MAE : 556.2186 | LR : 0.042184
